sample_index,original_orientation,orientation,time_ms,uncalibrated_y_g,ideal_y_g,signed_error_g
0,+X,-Y,53073,-1.124000000,-1.0,-0.124000000
1,+X,-Y,53152,-1.128000000,-1.0,-0.128000000
2,+X,-Y,53233,-1.127000000,-1.0,-0.127000000
3,+X,-Y,53312,-1.127000000,-1.0,-0.127000000
4,+X,-Y,53393,-1.121000000,-1.0,-0.121000000
5,+X,-Y,53472,-1.128000000,-1.0,-0.128000000
6,+X,-Y,53552,-1.124000000,-1.0,-0.124000000
7,+X,-Y,53633,-1.116000000,-1.0,-0.116000000
8,+X,-Y,53712,-1.121000000,-1.0,-0.121000000
9,+X,-Y,53793,-1.119000000,-1.0,-0.119000000
10,+X,-Y,53872,-1.120000000,-1.0,-0.120000000
11,+X,-Y,53953,-1.121000000,-1.0,-0.121000000
12,+X,-Y,54032,-1.127000000,-1.0,-0.127000000
13,+X,-Y,54112,-1.133000000,-1.0,-0.133000000
14,+X,-Y,54192,-1.113000000,-1.0,-0.113000000
15,+X,-Y,54272,-1.113000000,-1.0,-0.113000000
16,+X,-Y,54352,-1.121000000,-1.0,-0.121000000
17,+X,-Y,54432,-1.127000000,-1.0,-0.127000000
18,+X,-Y,54513,-1.125000000,-1.0,-0.125000000
19,+X,-Y,54592,-1.122000000,-1.0,-0.122000000
20,+X,-Y,54673,-1.125000000,-1.0,-0.125000000
21,+X,-Y,54752,-1.127000000,-1.0,-0.127000000
22,+X,-Y,54833,-1.128000000,-1.0,-0.128000000
23,+X,-Y,54912,-1.128000000,-1.0,-0.128000000
24,+X,-Y,54992,-1.128000000,-1.0,-0.128000000
25,+X,-Y,55072,-1.124000000,-1.0,-0.124000000
26,+X,-Y,55152,-1.124000000,-1.0,-0.124000000
27,+X,-Y,55233,-1.124000000,-1.0,-0.124000000
28,+X,-Y,55312,-1.122000000,-1.0,-0.122000000
29,+X,-Y,55393,-1.114000000,-1.0,-0.114000000
30,+X,-Y,55472,-1.124000000,-1.0,-0.124000000
31,+X,-Y,55553,-1.128000000,-1.0,-0.128000000
32,+X,-Y,55632,-1.121000000,-1.0,-0.121000000
33,+X,-Y,55712,-1.121000000,-1.0,-0.121000000
34,+X,-Y,55792,-1.125000000,-1.0,-0.125000000
35,+X,-Y,55872,-1.114000000,-1.0,-0.114000000
36,+X,-Y,55953,-1.122000000,-1.0,-0.122000000
37,+X,-Y,56032,-1.127000000,-1.0,-0.127000000
38,+X,-Y,56113,-1.124000000,-1.0,-0.124000000
39,+X,-Y,56192,-1.122000000,-1.0,-0.122000000
40,+X,-Y,56273,-1.122000000,-1.0,-0.122000000
41,+X,-Y,56352,-1.117000000,-1.0,-0.117000000
42,+X,-Y,56432,-1.124000000,-1.0,-0.124000000
43,+X,-Y,56513,-1.128000000,-1.0,-0.128000000
44,+X,-Y,56592,-1.125000000,-1.0,-0.125000000
45,+X,-Y,56673,-1.121000000,-1.0,-0.121000000
46,+X,-Y,56752,-1.121000000,-1.0,-0.121000000
47,+X,-Y,56833,-1.124000000,-1.0,-0.124000000
48,+X,-Y,56912,-1.137000000,-1.0,-0.137000000
49,+X,-Y,56992,-1.117000000,-1.0,-0.117000000
50,+X,-Y,57072,-1.124000000,-1.0,-0.124000000
51,+X,-Y,57152,-1.121000000,-1.0,-0.121000000
52,+X,-Y,57233,-1.121000000,-1.0,-0.121000000
53,+X,-Y,57312,-1.122000000,-1.0,-0.122000000
54,+X,-Y,57393,-1.128000000,-1.0,-0.128000000
55,+X,-Y,57472,-1.121000000,-1.0,-0.121000000
56,+X,-Y,57553,-1.124000000,-1.0,-0.124000000
57,+X,-Y,57632,-1.124000000,-1.0,-0.124000000
58,+X,-Y,57713,-1.122000000,-1.0,-0.122000000
59,+X,-Y,57792,-1.128000000,-1.0,-0.128000000
60,+X,-Y,57872,-1.133000000,-1.0,-0.133000000
61,+X,-Y,57953,-1.114000000,-1.0,-0.114000000
62,+X,-Y,58032,-1.120000000,-1.0,-0.120000000
63,+X,-Y,58113,-1.124000000,-1.0,-0.124000000
64,+X,-Y,58192,-1.124000000,-1.0,-0.124000000
65,+X,-Y,58273,-1.128000000,-1.0,-0.128000000
66,+X,-Y,58352,-1.128000000,-1.0,-0.128000000
67,+X,-Y,58433,-1.129000000,-1.0,-0.129000000
68,+X,-Y,58512,-1.120000000,-1.0,-0.120000000
69,+X,-Y,58593,-1.120000000,-1.0,-0.120000000
70,+X,-Y,58672,-1.122000000,-1.0,-0.122000000
71,+X,-Y,58752,-1.126000000,-1.0,-0.126000000
72,+X,-Y,58833,-1.124000000,-1.0,-0.124000000
73,+X,-Y,58912,-1.124000000,-1.0,-0.124000000
74,+X,-Y,58993,-1.124000000,-1.0,-0.124000000
75,+X,-Y,59072,-1.121000000,-1.0,-0.121000000
76,+X,-Y,59153,-1.121000000,-1.0,-0.121000000
77,+X,-Y,59232,-1.113000000,-1.0,-0.113000000
78,+X,-Y,59313,-1.122000000,-1.0,-0.122000000
79,+X,-Y,59392,-1.128000000,-1.0,-0.128000000
80,+X,-Y,59472,-1.124000000,-1.0,-0.124000000
81,+X,-Y,59553,-1.123000000,-1.0,-0.123000000
82,+X,-Y,59632,-1.124000000,-1.0,-0.124000000
83,+X,-Y,59713,-1.127000000,-1.0,-0.127000000
84,+X,-Y,59792,-1.124000000,-1.0,-0.124000000
85,+X,-Y,59873,-1.121000000,-1.0,-0.121000000
86,+X,-Y,59952,-1.122000000,-1.0,-0.122000000
87,+X,-Y,60033,-1.121000000,-1.0,-0.121000000
88,+X,-Y,60112,-1.121000000,-1.0,-0.121000000
89,+X,-Y,60192,-1.121000000,-1.0,-0.121000000
90,+X,-Y,60272,-1.121000000,-1.0,-0.121000000
91,+X,-Y,60352,-1.108000000,-1.0,-0.108000000
92,+X,-Y,60433,-1.121000000,-1.0,-0.121000000
93,+X,-Y,60512,-1.124000000,-1.0,-0.124000000
94,+X,-Y,60593,-1.124000000,-1.0,-0.124000000
95,+X,-Y,60672,-1.129000000,-1.0,-0.129000000
96,+X,-Y,60753,-1.124000000,-1.0,-0.124000000
97,+X,-Y,60832,-1.121000000,-1.0,-0.121000000
98,+X,-Y,60913,-1.113000000,-1.0,-0.113000000
99,+X,-Y,60992,-1.120000000,-1.0,-0.120000000
100,+X,-Y,61072,-1.120000000,-1.0,-0.120000000
101,+X,-Y,61152,-1.122000000,-1.0,-0.122000000
102,+X,-Y,61232,-1.124000000,-1.0,-0.124000000
103,+X,-Y,61313,-1.122000000,-1.0,-0.122000000
104,+X,-Y,61392,-1.124000000,-1.0,-0.124000000
105,+X,-Y,61473,-1.117000000,-1.0,-0.117000000
